csl.2.8.06.02	Hm B	Q000519
csl.2.8.06.03	Hm C	Q000520
csl.2.8.06.04	Hm D	Q000521
csl.2.8.06.05	Hm E	Q000522
csl.2.8.06.06	Hm F	Q000523
csl.2.8.06.99		Q002315
csl.2.8.07.01	Si A	Q000524
csl.2.8.07.02	Si B	Q000525
csl.2.8.07.03	Si C	Q000526
csl.2.8.07.04	Si D	Q000527
csl.2.8.07.05	Si E	Q000529
csl.2.8.07.06	Si F	Q000530
csl.2.8.07.07	Si G	Q000531
csl.2.8.07.08	Si I	Q002373
csl.2.8.07.99		Q002374
csl.2.8.08.01	Ae A	Q000532
csl.2.8.08.02	Ae B	Q000533
csl.2.9.01	Hymn 1	Q000534
csl.2.9.02	ER	Q000789
csl.2.99		Q000536
csl.3.1.01		Q000539
csl.3.1.02		Q000540
csl.3.1.03		Q000541
csl.3.1.04		Q000542
csl.3.1.05		Q000543
csl.3.1.06		Q000544
csl.3.1.61		Q000545
csl.3.1.07		Q000546
csl.3.1.08		Q000547
csl.3.1.10		Q000548
csl.3.1.11		Q000549
csl.3.1.111		Q000550
csl.3.1.12		Q000551
csl.3.1.13		Q000552
csl.3.1.131		Q000553
csl.3.1.132		Q000554
csl.3.1.15		Q000555
csl.3.1.16		Q000556
csl.3.1.17		Q000557
csl.3.1.18		Q000558
csl.3.1.19		Q000559
csl.3.1.20		Q000560
csl.3.1.21		Q000561
csl.3.2.01		Q000562
csl.3.2.02		Q000563
csl.3.2.03		Q000564
csl.3.2.04		Q000565
csl.3.2.05		Q000566
csl.3.2.06		Q000567
csl.3.2.07		Q000568
csl.3.2.08		Q000569
csl.3.2.09		Q000570
csl.3.2.10		Q000571
csl.3.2.11		Q000572
csl.3.3.01		Q000573
csl.3.3.02		Q000574
csl.3.3.03		Q000575
csl.3.3.04		Q000576
csl.3.3.05		Q000577
csl.3.3.06		Q000578
csl.3.3.07		Q000579
csl.3.3.08		Q000580
csl.3.3.09		Q000581
csl.3.3.10		Q000582
csl.3.3.11		Q000583
csl.3.3.12		Q000584
csl.3.3.13		Q000585
csl.3.3.14		Q000586
csl.3.3.15		Q000587
csl.3.3.16		Q000588
csl.3.3.17		Q000589
csl.3.3.18		Q000590
csl.3.3.19		Q000591
csl.3.3.20		Q000592
csl.3.3.21		Q000593
csl.3.3.22		Q000594
csl.3.3.23		Q000595
csl.3.3.24		Q000596
csl.3.3.25		Q000597
csl.3.3.26		Q000598
csl.3.3.27		Q000599
csl.3.3.28		Q000600
csl.3.3.29		Q000601
csl.3.3.30		Q000602
csl.3.3.31		Q000603
csl.3.3.32		Q000604
csl.3.3.33		Q000605
csl.3.3.34		Q000606
csl.3.3.35		Q000607
csl.3.3.36		Q000609
csl.3.3.37		Q000610
csl.3.99		Q002377
csl.3.4.01	CUN	Q000612
csl.3.4.02	CLi	Q000613
csl.3.4.03	CH	Q000614
csl.4.01.01	Asl A	Q000615
csl.4.02.01	Ba A	Q000616
csl.4.02.02	Ba B	Q000617
csl.4.03.01	Dg A	Q000618
csl.4.05.01	El A	Q000619
csl.4.05.02	El B	Q002378
csl.4.06.01	Hs A	Q000621
csl.4.07.01	In A	Q000622
csl.4.07.02	In B	Q000623
