aʾa[unmng]V/i	a-a	rr	a·a
gur[reap]V/t	gurₓ(|ŠE&ŠE.KIN|)-gurₓ(|ŠE&ŠE.KIN|)	RR	gur·gur
gur[reap]V/t	gurₓ(|ŠE.KIN|)-gurₓ(|ŠE.KIN|)	RR	gur·gur
gur[reap]V/t	gur₁₀-gur₁₀	RR	gur·gur
gur[thick]V/i	gur-gur	RR	gur·gur
gur[thick]V/i	gur₄-gur₄	RR	gur·gur
gur[thick]V/i	gur₄-gur₄	RR	gur·gur
gur[thick]V/i	gur-gur	RR	gur·gur
gur[turn]V/i	gur-gur	RR	gur·gur
gur[turn]V/i	gur₄-gur₄	RR	gur·gur
gurum[bend]V/t	gam-gam	rr	gam·gam
gurum[bend]V/t	gur-gur	rr	gur·gur
gurum[bend]V/t	gur₄-gur₄	rr	gur·gur
gurum[bend]V/t	gur₆-gur₆	rr	gur·gur
guruš[cut]V/t	guru₅-guru₅	rr	guru·guru
guz[crush]V/i	gum-gum	rr	gum·gum
ŋal[be]V/i	ŋal₂-ŋal₂	RR	ŋal·ŋal
ŋal[be]V/i	ŋal₂-ŋal₂	RR	ŋal·ŋal
ŋal[be]V/i	ŋa₂-ŋa₂	rr	ŋa·ŋa
ŋar[place]V/t	gan-gan	rr	gan·gan
ŋar[place]V/t	kar₂-kar₂	rr	kar·kar
ŋar[place]V/t	ŋar-ŋar	RR	ŋar·ŋar
ŋar[place]V/t	ŋar-ŋar-ŋar	RRR	ŋar·ŋar·ŋar
ŋar[place]V/t	ŋar-ŋar-ŋar-ŋar	RRRR	ŋar·ŋar·ŋar·ŋar
ŋar[place]V/t	ŋa₂-ar-ŋa₂-ar	R′R′	ŋa°ar·ŋa°ar
ŋar[place]V/t	ŋa₂-ŋa₂	rr	ŋa·ŋa
ŋar[place]V/t	ŋa₂-ŋa₂-ŋa₂	rrr	ŋa·ŋa·ŋa
ŋar[place]V/t	ŋa₂-ŋa₂	rr	ŋa·ŋa
ŋen[go]V/i	ŋen-ŋen	RR	ŋen·ŋen
ŋir[flash]V/i	ŋir₂-ŋir₂	RR	ŋir·ŋir
ŋir[flash]V/i	ŋir₂-ŋir₂	RR	ŋir·ŋir
ŋir[flash]V/i	ŋir₂-ŋir₂-ŋir₂	RRR	ŋir·ŋir·ŋir
HA.HA.HA[mix up?]V/t	HA-HA-HA	rrr	HA·HA·HA
hab[malodorous]V/i	hab-hab	RR	hab·hab
hab[malodorous]V/i	hab₂-hab₂	RR	hab·hab
