P010285	OIP 099, 351	uncertain (mod. Abu Salabikh)	IM —	AbS-T 0026						ED IIIa
P345264	CDLI Literary 000351, ex. 039	Nippur (mod. Nuffar)	Ist Ni 04261							Old Babylonian
P345310	CDLI Literary 000351, ex. 024	Nippur (mod. Nuffar)	Ist Ni 02499							Old Babylonian
P345312	CDLI Literary 000351, ex. 025	Nippur (mod. Nuffar)	Ist Ni 02501							Old Babylonian
P345426	CDLI Literary 000351, ex. 026	uncertain (mod. uncertain)	AO 07748							Old Babylonian
P345782	CDLI Literary 000351, ex. 073	Kish (mod. Tell Uhaimir)	Ashm 1924-0560							Old Babylonian
P346088	CDLI Literary 000351, ex. 045	Ur (mod. Tell Muqayyar)	BM —	U 16879M						Old Babylonian
P346089	CDLI Literary 000351, ex. 046	Ur (mod. Tell Muqayyar)	BM —	U 16877						Old Babylonian
P346090	CDLI Literary 000351, ex. 047	Ur (mod. Tell Muqayyar)	BM —	U —						Old Babylonian
P346091	CDLI Literary 000351, ex. 048	Ur (mod. Tell Muqayyar)	BM —	U 16884						Old Babylonian
P346398	CDLI Literary 000482, ex. 038	Ur (mod. Tell Muqayyar)	BM —	U 07716						Old Babylonian
P346514	CDLI Literary 000351, ex. 152	Ur (mod. Tell Muqayyar)	BM —	U —						Old Babylonian
P346515	CDLI Literary 000351, ex. 153	Ur (mod. Tell Muqayyar)	BM —	U —						Old Babylonian
P346516	CDLI Literary 000350, ex. 054 & 000351, ex. 167	Ur (mod. Tell Muqayyar)	BM —	U —						Old Babylonian
P346517	CDLI Literary 000351, ex. 154	Ur (mod. Tell Muqayyar)	BM —	U —						Old Babylonian
P349103	CDLI Literary 000351, ex. 151	Uruk (mod. Warka)	unknown	W 17259,v						Old Babylonian
P356137	CDLI Literary 000351, ex. 104	Nippur (mod. Nuffar)	Penn —	3N-T0902,065						Old Babylonian
P356155	CDLI Literary 000351, ex. 115	Nippur (mod. Nuffar)	Penn —	3N-T0902,083						Old Babylonian
P356194	CDLI Literary 000351, ex. 103	Nippur (mod. Nuffar)	Penn —	3N-T0903,128						Old Babylonian
P356198	CDLI Literary 000351, ex. 100	Nippur (mod. Nuffar)	Penn —	3N-T0903,133						Old Babylonian
P356260	CDLI Literary 000351, ex. 099	Nippur (mod. Nuffar)	Penn —	3N-T0905,199						Old Babylonian
P356407	CDLI Literary 000351, ex. 114	Nippur (mod. Nuffar)	Penn —	3N-T0916,353						Old Babylonian
