P345139	CDLI Literary 000351, ex. 037	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 X1	
P345140	CDLI Literary 000351, ex. 038	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 N	
P345264	CDLI Literary 000351, ex. 039	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 U3	
P413913	CDLI Literary 000351, ex. 040	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Neo-Assyrian (ca. 911-612 BC)	Assur (mod. Qalat Sherqat)	tablet	history	2 (1983) 020 n	
P461685	CDLI Literary 000351, ex. 041	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 X3	
P237384	CDLI Literary 000351, ex. 042	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 019 g	
P237352	CDLI Literary 000351, ex. 043	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 019 c	
P357140	CDLI Literary 000351, ex. 044	British Museum, London, UK	Neo-Assyrian (ca. 911-612 BC)	Nineveh (mod. Kuyunjik)	tablet	history	2 (1983) 021 c1	
P346088	CDLI Literary 000351, ex. 045	British Museum, London, UK	Old Babylonian (ca. 1900-1600 BC)	Ur (mod. Tell Muqayyar)	tablet	history	015, M1	
P346089	CDLI Literary 000351, ex. 046	British Museum, London, UK	Old Babylonian (ca. 1900-1600 BC)	Ur (mod. Tell Muqayyar)	tablet	history	2 (1983) 015 S1	
P346090	CDLI Literary 000351, ex. 047	British Museum, London, UK	Old Babylonian (ca. 1900-1600 BC)	Ur (mod. Tell Muqayyar)	tablet	history	2 (1983) 016 F2	
P346091	CDLI Literary 000351, ex. 048	British Museum, London, UK	Old Babylonian (ca. 1900-1600 BC)	Ur (mod. Tell Muqayyar)	tablet	history	2 (1983) 016 H2	
P338470	CDLI Literary 000351, ex. 049	Anadolu Medeniyetleri M=C3=BCzesi, Ankara, Turkey	Neo-Assyrian (ca. 911-612 BC)	Huzirina (mod. Sultantepe)	tablet	history	2 (1983) 019 e	
P343177	CDLI Literary 000351, ex. 050	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 X	
P343185	CDLI Literary 000351, ex. 051	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 U1	
P343215	CDLI Literary 000351, ex. 052	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 R1	
P343227	CDLI Literary 000351, ex. 053	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 017 Q3	
P343355	CDLI Literary 000351, ex. 054	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 013 D	
P343359	CDLI Literary 000351, ex. 055	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 017 R3	
P343378	CDLI Literary 000351, ex. 056	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 S3	
P343418	CDLI Literary 000351, ex. 057	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 Q	
P343424	CDLI Literary 000351, ex. 058	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 B1	
P343431	CDLI Literary 000351, ex. 059	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 R	
P343536	CDLI Literary 000351, ex. 060	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 V3	
P343590	CDLI Literary 000351, ex. 061	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 019 U4	
P343621	CDLI Literary 000351, ex. 062	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 T1	
P343633	CDLI Literary 000351, ex. 063	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 014 P	
P343642	CDLI Literary 000351, ex. 064	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 013 H	
P343643	CDLI Literary 000351, ex. 065	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 V1	
P343644	CDLI Literary 000351, ex. 066	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 J1	
P459571	CDLI Literary 000351, ex. 067	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 016 I2	
P343645	CDLI Literary 000351, ex. 068	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 013 F	
P459575	CDLI Literary 000351, ex. 069	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 018 F4	
P343647	CDLI Literary 000351, ex. 070	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 015 P1+E2+G2	
P459573	CDLI Literary 000351, ex. 071	Arkeoloji M=C3=BCzeleri, Istanbul, Turkey	Old Babylonian (ca. 1900-1600 BC)	Nippur (mod. Nuffar)	tablet	history	2 (1983) 017 A3	
