FSB 11	DME 003	FD IIIa	Fāra-Šuruppak	-	VAT 12524 V’ 8-VI’ 4	SF 46 V’ 8-VI’ 4; BFE: 384-385 / http://www.cdli.ucla.edu/dl/photo/P010631	-	gegen eine Krankheit	Krebernik 1984, 86-87.
FSB 12	DME 005	FD IIIa	Fāra-Šuruppak	-	VAT 12524 VII’ 4-7	SF 46 VII’ 4-7; BFE: 384-385 / http://www.cdli.ucla.edu/dl/photo/P010631	-	gegen eine Krankheit	Krebernik 1984 :90-91
FSB 13A	DME 009A	FD IIIa	Fāra-Šuruppak	-	VAT 12597 II 1-9	SF 54 II 1-9; BFE: 382-383 / http://www.cdli.ucla.edu/dl/photo/P010644	-	gegen eine Krankheit	Krebernik 1984, 14-18.
FSB 13B	DME 009B	FD IIIa	Fāra-Šuruppak	-	TSŠ 170 I 1’-4’	unpublizierte Kopie von R. Biggs	-	gegen eine Krankheit	Krebernik 1984, 14-18.
FSB 14A	DME 012A	FD IIIa	Fāra-Šuruppak	-	VAT 12597 V 2-8	SF 54 V 2-8; BFE 382-383 / http://www.cdli.ucla.edu/dl/photo/P010644	-	gegen eine Krankheit	Krebernik 1984, 32-35.
FSB 14B	DME 012B	FD IIIa	Fāra-Šuruppak	-	TSŠ 170 VII 4-VIII 5	unpublizierte Kopie von R. Biggs	-	gegen eine Krankheit	Krebernik 1984, 32-35.
FSB 15A	DME 011A	FD IIIa	Fāra-Šuruppak	-	VAT 12597 IV 1- V 1	SF 54 IV 1-V 1; BFE 382-383 / http://www.cdli.ucla.edu/dl/photo/P010644	-	gegen eine Krankheit	Krebernik 1984, 26-31
FSB 15B	DME 011B	FD IIIa	Fāra-Šuruppak	-	TSŠ 170 III 1-IV 5	unpublizierte Kopie von R. Biggs	-	gegen eine Krankheit	Krebernik 1984, 26-31
FSB 16	CDLB 2006, 2, 1	FD IIIa — IIIb	Herkunft unbekannt	-	MRAH O.1920	URL http://www.cdli.ucla.edu/dl/photo/P272783	-	gegen eine Krankheit	Veldhuis 2006 :2
FSB 17	CDLB 2006, 2, 2	FD IIIa — IIIb	Herkunft unbekannt	-	MRAH O.1920	URL http://www.cdli.ucla.edu/dl/photo/P272783	-	gegen eine Krankheit	Veldhuis 2006 :2
FSB 18	OrAnt 26, 298	Ur III	Tell Jokha — Umma	-	MVN 14, 712	OrAnt 26, 298	-	gegen eine Krankheit	Waetzoldt / Yildiz 1987, 291-298.
FSB 19	DME 0681	Ur III	Herkunft unbekannt	-	AUAM 73.1425 Vs. I:1-6	ASJ 2 S.159-160 / ASJ 2 S.161-167.	-	gegen eine Krankheit	Sigrist 1980, 154-155.
