Q000907				Gudea 035	rim:E3/1.1.7.35	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 133, E3/1.1.7.35		Gudea			active			
Q000908				Gudea 037	rim:E3/1.1.7.37	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 135, E3/1.1.7.37		Gudea			active			
Q000909				Gudea 039	rim:E3/1.1.7.39	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 137, E3/1.1.7.39		Gudea			active			
Q000910				Gudea 040	rim:E3/1.1.7.40	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 137, E3/1.1.7.40		Gudea			active			
Q000911				Gudea 041	rim:E3/1.1.7.41	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 138, E3/1.1.7.41		Gudea			active			
Q000912				Gudea 042	rim:E3/1.1.7.42	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 139, E3/1.1.7.42		Gudea			active			
Q000913				Gudea 043	rim:E3/1.1.7.43	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 140, E3/1.1.7.43		Gudea			active			
Q000914				Gudea 044	rim:E3/1.1.7.44	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 141, E3/1.1.7.44		Gudea			active			
Q000915				Gudea 048	rim:E3/1.1.7.48	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 144, E3/1.1.7.48		Gudea			active			
Q000916				Gudea 049	rim:E3/1.1.7.49	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 145, E3/1.1.7.49		Gudea			active			
Q000917				Gudea 051	rim:E3/1.1.7.51	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 146, E3/1.1.7.51		Gudea			active			
Q000918				Gudea 054	rim:E3/1.1.7.54	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 149, E3/1.1.7.54		Gudea			active			
Q000919				Gudea 062	rim:E3/1.1.7.62	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 154, E3/1.1.7.62		Gudea			active			
Q000920				Gudea 063	rim:E3/1.1.7.63	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 155, E3/1.1.7.63		Gudea			active			
Q000921				Gudea 064	rim:E3/1.1.7.64	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 156, E3/1.1.7.64		Gudea			active			
