Q000991	Šu-Suen 01	rim:E3/2.1.4.1	Ur III	Ur
Q000992	Šu-Suen 03	rim:E3/2.1.4.3	Ur III	Ur
Q000993	Šu-Suen 05	rim:E3/2.1.4.5	Ur III	Ur
Q000994	Šu-Suen 07	rim:E3/2.1.4.7	Ur III	Ur
Q000995	Šu-Suen 10	rim:E3/2.1.4.10	Ur III	Ur
Q000996	Šu-Suen 12	rim:E3/2.1.4.12	Ur III	Ur
Q000997	Šu-Suen 13	rim:E3/2.1.4.13	Ur III	Ur
Q000998	Šu-Suen 15	rim:E3/2.1.4.15	Ur III	Ur
Q000999	Šu-Suen 16	rim:E3/2.1.4.16	Ur III	Ur
Q001000	Šu-Suen 17	rim:E3/2.1.4.17	Ur III	Ur
Q001001	Šu-Suen 19	rim:E3/2.1.4.19	Ur III	Ur
Q001002	Šu-Suen 20	rim:E3/2.1.4.20	Ur III	Ur
Q001003	Šu-Suen 21	rim:E3/2.1.4.21	Ur III	Ur
Q001005	Ibbi-Suen 01	rim:E3/2.1.5.1	Ur III	Ur
Q001006	Ibbi-Suen 2006	rim:E3/2.1.5.2006	Ur III	Ur
Q001007	Unattributed Ur III 1007	rim:E3/2.1.6.1007	Ur III	Ur
Q001008	Unattributed Ur III 1027	rim:E3/2.1.6.1027	Ur III	Ur
Q001009	Ur-Ningirsu 2	rim:E3/2.2.1.2	Ur III	Girsu
Q001016	Ur-Nanše 01	rim:E1.9.1.1	Early Dynastic	Lagaš
Q001017	Ur-Nanše 07	rim:E1.9.1.7	Early Dynastic	Lagaš
Q001018	Ur-Nanše 19	rim:E1.9.1.19	Early Dynastic	Lagaš
Q001019	Ur-Nanše 29	rim:E1.9.1.29	Early Dynastic	Lagaš
Q001020	Ur-Nanše 30a	rim:E1.9.1.30a	Early Dynastic	Lagaš
Q001021	Ur-Nanše 02	rim:E1.9.1.2	Early Dynastic	Lagaš
Q001022	Ur-Nanše 03	rim:E1.9.1.3	Early Dynastic	Lagaš
Q001023	Ur-Nanše 04	rim:E1.9.1.4	Early Dynastic	Lagaš
Q001024	Ur-Nanše 05	rim:E1.9.1.5	Early Dynastic	Lagaš
Q001025	Ur-Nanše 17	rim:E1.9.1.17	Early Dynastic	Lagaš
Q001026	Ur-Nanše 11	rim:E1.9.1.11	Early Dynastic	Lagaš
Q001028	Ur-Nanše 12	rim:E1.9.1.12	Early Dynastic	Lagaš
Q001029	Ur-Nanše 10	rim:E1.9.1.10	Early Dynastic	Lagaš
Q001030	Ur-Nanše 13	rim:E1.9.1.13	Early Dynastic	Lagaš
Q001031	Ur-Nanše 14	rim:E1.9.1.14	Early Dynastic	Lagaš
Q001032	Ur-Nanše 15	rim:E1.9.1.15	Early Dynastic	Lagaš
Q001033	Ur-Nanše 18	rim:E1.9.1.18	Early Dynastic	Lagaš
Q001034	Ur-Nanše 16	rim:E1.9.1.16	Early Dynastic	Lagaš
Q001035	Ur-Nanše 20	rim:E1.9.1.20	Early Dynastic	Lagaš
Q001036	Ur-Nanše 21	rim:E1.9.1.21	Early Dynastic	Lagaš
Q001037	Ur-Nanše 22	rim:E1.9.1.22	Early Dynastic	Lagaš
Q001038	Ur-Nanše 23	rim:E1.9.1.23	Early Dynastic	Lagaš
Q001039	Ur-Nanše 08	rim:E1.9.1.8	Early Dynastic	Lagaš
Q001040	Ur-Nanše 31	rim:E1.9.1.31	Early Dynastic	Lagaš
Q001042	Ur-Nanše 26	rim:E1.9.1.26	Early Dynastic	Lagaš
Q001044	Ur-Nanše 24a	rim:E1.9.1.24a	Early Dynastic	Lagaš
Q001045	Ur-Nanše 24b	rim:E1.9.1.24b	Early Dynastic	Lagaš
Q001046	Ur-Nanše 25	rim:E1.9.1.25	Early Dynastic	Lagaš
Q001047	Ur-Nanše 27	rim:E1.9.1.27	Early Dynastic	Lagaš
Q001048	Ur-Nanše 28	rim:E1.9.1.28	Early Dynastic	Lagaš
Q001049	Ur-Nanše 32	rim:E1.9.1.32	Early Dynastic	Lagaš
Q001050	Ur-Nanše 06b	rim:E1.9.1.6b	Early Dynastic	Lagaš
Q001051	Ur-Nanše 33	rim:E1.9.1.33	Early Dynastic	Lagaš
Q001053	A-kurgal 1	rim:E1.9.2.1	Early Dynastic	Lagaš
Q001054	A-kurgal 2a	rim:E1.9.2.2a	Early Dynastic	Lagaš
Q001055	A-kurgal 3	rim:E1.9.2.3	Early Dynastic	Lagaš
Q001056	E-anatum 01	rim:E1.9.3.1	Early Dynastic	Lagaš
Q001057	E-anatum 05	rim:E1.9.3.5	Early Dynastic	Lagaš
Q001058	E-anatum 06	rim:E1.9.3.6	Early Dynastic	Lagaš
Q001059	E-anatum 07a	rim:E1.9.3.7a	Early Dynastic	Lagaš
Q001060	E-anatum 02	rim:E1.9.3.2	Early Dynastic	Lagaš
Q001062	E-anatum 08	rim:E1.9.3.8	Early Dynastic	Lagaš
Q001063	E-anatum 09	rim:E1.9.3.9	Early Dynastic	Lagaš
Q001064	E-anatum 04	rim:E1.9.3.4	Early Dynastic	Lagaš
Q001065	E-anatum 13	rim:E1.9.3.13	Early Dynastic	Lagaš
Q001066	E-anatum 11	rim:E1.9.3.11	Early Dynastic	Lagaš
Q001067	E-anatum 03	rim:E1.9.3.3	Early Dynastic	Lagaš
