Q000881				Pirigme 1	rim:E3/1.1.2.1	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 012, E3/1.1.2.1					active			
Q000882				Ur-Bau 01	rim:E3/1.1.6.1	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 015, E3/1.1.6.1					active			
Q000883				Ur-Bau 03	rim:E3/1.1.6.3	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 016, E3/1.1.6.3					active			
Q000884				Ur-Bau 04	rim:E3/1.1.6.4	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 017, E3/1.1.6.4					active			
Q000885				Ur-Bau 12	rim:E3/1.1.6.12	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 024, E3/1.1.6.12					active			
Q000886				Ur-Bau 13	rim:E3/1.1.6.13	Royal Inscription		Jamie Novotny	8/31/2019 6:47:25 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 025, E3/1.1.6.13					active			
Q000887				Gudea 001	rim:E3/1.1.7.1	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 107, E3/1.1.7.1		Gudea			active			
Q000888				Gudea 002	rim:E3/1.1.7.2	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 108, E3/1.1.7.2		Gudea			active			
Q000889				Gudea 003	rim:E3/1.1.7.3	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 109, E3/1.1.7.3		Gudea			active			
Q000890				Gudea 004	rim:E3/1.1.7.4	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 109, E3/1.1.7.4		Gudea			active			
Q000891				Gudea 006	rim:E3/1.1.7.6	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 111, E3/1.1.7.6		Gudea			active			
Q000892				Gudea 008	rim:E3/1.1.7.8	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 113, E3/1.1.7.8		Gudea			active			
Q000893				Gudea 011	rim:E3/1.1.7.11	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 115, E3/1.1.7.11		Gudea			active			
Q000894				Gudea 016	rim:E3/1.1.7.16	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 119, E3/1.1.7.16		Gudea			active			
Q000895				Gudea 017	rim:E3/1.1.7.17	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 119, E3/1.1.7.17		Gudea			active			
Q000896				Gudea 018	rim:E3/1.1.7.18	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 120, E3/1.1.7.18		Gudea			active			
Q000897				Gudea 019	rim:E3/1.1.7.19	Royal Inscription		ARMEP	9/4/2019 9:33:50 AM		updated from Tinney file 1/24/2006		Lagaš II	Girsu	RIME 3/1, p. 121, E3/1.1.7.19		Gudea			active			
