designation	id_text	museum_no	Delnero_no	Delnero_subgenre_no	type	deity	Delnero_remarks
VS 10, 114	P342922	VAT 03530	1890	Ershemma ID (367)	Ershemma	Inana-Dumuzi	
VS 10, 115	P342923	VAT 03531	1900	Ershemma ID (368)	Ershemma	Inana-Dumuzi	
VS 10, 116	P342924	VAT 03532					
VS 10, 117 + BM 80541	P342925	VAT 03416 + BM 080541	1740	Balag ID (35)	Balag	Inana-Dumuzi	
VS 10, 118	P342926	VAT 03424					
VS 10, 119	P342927	VAT 03422	1770	Balag Uncertain Deity (297)	Balag	Uncertain	
VS 10, 120	P342928	VAT 03427					
VS 10, 121	P342929	VAT 03436					
VS 10, 122	P342930	VAT 03419					
VS 10, 123	P342931	VAT 06077	2160	Balag ID (83)	Balag	Inana-Dumuzi	
VS 10, 124	P342932	VAT 03420 + VAT 03431					
VS 10, 125	P342933	VAT 03513					
VS 10, 126	P342934	VAT 01539					
VS 10, 128	P342936	VAT 03536	1920	Balag ID (82)	Balag	Inana-Dumuzi	
VS 10, 129	P342937	VAT 03552 + VAT 03562	1990	Ershemma ID (371)	Ershemma	Inana-Dumuzi	
VS 10, 130	P342938	VAT 03548	1960	Ershemma Uncertain Deity (462)	Ershemma	Uncertain	
VS 10, 131	P342939	VAT 03558	2020	Ershemma Martu (448)	Ershemma	Martu	
VS 10, 132	P342940	VAT 03528					
VS 10, 133	P342941	VAT 03534					
VS 10, 134	P342942	VAT 03434					
VS 10, 135	P342943	VAT 03435	1830	Balag Enlil (249)	Balag	Enlil	
VS 10, 136	P342944	VAT 03437					
VS 10, 137	P342945	VAT 03438					
VS 10, 138	P342946	VAT 03439					
VS 10, 139	P342947	VAT 03440					
VS 10, 140	P342948	VAT 03485					
VS 10, 141	P342949	VAT 03486					
VS 10, 142	P342950	VAT 03502					
VS 10, 143	P342951	VAT 03542					
VS 10, 144	P342952	VAT 03537	1930	Uncertain TT Enlil (485)	Uncertain	Enlil	
VS 10, 146	P342954	VAT 03547	1950	Ershemma Uncertain Deity (461)	Ershemma	Uncertain	
VS 10, 147	P342955	VAT 03553					
VS 10, 148	P342956	VAT 03576	2080	Ershemma Utu (437)	Ershemma	Utu	
VS 10, 149	P342957	VAT 03526 + VAT 03540	1860	Balag Utu (269)	Balag	Utu	
VS 10, 150	P342958	VAT 03544	1940	Ershemma ID (369)	Ershemma	Inana-Dumuzi	
VS 10, 151	P342959	VAT 03433	1820	Balag Enlil (230)	Balag	Enlil	
VS 10, 153	P342961	VAT 03430	1810	Ershemma Iškur (444)	Ershemma	Iškur	
VS 10, 154	P342962	VAT 03514	1850	Uncertain TT Enlil (484)	Uncertain	Enlil	
VS 10, 157	P342965	VAT 03426	1800	Balag Uncertain Deity (298)	Balag	Uncertain	
VS 10, 158	P342966	VAT 03428			Uncertain	Utu	
VS 10, 159	P342967	VAT 03574	2070	Ershemma ID (372)	Ershemma	Inana-Dumuzi	
VS 10, 160	P342968	VAT 03497					
VS 10, 161	P342969	VAT 03555	2000	Balag ID (114)	Balag	Inana-Dumuzi	
VS 10, 162	P342970	VAT 03543 + VAT 03554					
VS 10, 163	P342971	VAT 03541					
VS 10, 164	P342972	VAT 03566					
VS 10, 165	P342973	VAT 03549					
VS 10, 166	P342974	VAT 03550	1970	Uncertain TT ID (370)	Uncertain	Inana-Dumuzi	
VS 10, 167	P342975	VAT 03606	2120	Ershemma AD (396)	Ershemma	Aruru-Dingirmah	
VS 10, 168	P342976	VAT 03527	1870	Balag Uncertain Deity (299)	Balag	Uncertain	
VS 10, 169	P342977	VAT 03563					
VS 10, 170	P342978	VAT 03529	1880	Balag Uncertain Deity (300)	Balag	Uncertain	
VS 10, 172	P342980	VAT 03559	2030	Balag Uncertain Deity (301)	Balag	Uncertain	
VS 10, 173	P342981	VAT 03589	2110	Balag ID (190)	Balag	Inana-Dumuzi	
VS 10, 174	P342982	VAT 01581 + VAT 03545 + VAT 03569	1730	Balag ID (81)	Balag	Inana-Dumuzi	
VS 10, 175	P342983	VAT 03556	2010	Ershemma Enlil (422)	Ershemma	Enlil	
VS 10, 176	P342984	VAT 01555	1650	Balag ID (79)	Balag	Inana-Dumuzi	
VS 10, 178	P342986	VAT 01556	1660	Balag Uncertain Deity (293)	Balag	Uncertain	
VS 10, 179	P342987	VAT 01421	1440	Ershemma ID (363)	Ershemma	Inana-Dumuzi	
VS 10, 180	P342988	VAT 03795					
VS 10, 181	P342989	VAT 01574	1710	Balag Uncertain Deity (295)	Balag	Uncertain	
VS 10, 182	P342990	VAT 04596	2140	Balag NG (168)	Balag	Ninisina-Gula	
VS 10, 183	P342991	VAT 03570	2060	Ershemma ID (357)	Ershemma	Inana-Dumuzi	
VS 10, 191	P342997	VAT 03577					
VS 10, 195	P343000	VAT 06530				Enlil	
VS 10, 198	P343003	VAT 05448	2150	Ershemma AD (393)	Ershemma	Aruru-Dingirmah	
VS 10, 199	P343004	VAT 07025					
VS 10, 201	P343006	VAT 07760	2190	Ershemma Uncertain Deity (464)	Ershemma	Uncertain	
VS 10, 211	P343016	VAT 01512	1560	Ershemma Utu (431)	Ershemma	Utu	
VS 10, 216	P343021	VAT 06481			Catalog		
VS 17, 48	P343067	VAT 01157	1050	Balag ID (31)	Balag	Inana-Dumuzi	
VS 17, 51	P343070	VAT 08201a	2200	Balag ID (36)	Balag	Inana-Dumuzi	
VS 17, 52	P343071	VAT 08201b					
VS 24, 24	P347143	VAT 15582				Enki	
VS 24, 25	P347144	VAT 17119					
X.3.220	P433192	X.3.220		Shirnamshub?	Shirnamshub?		
YBC 04659	P355670	YBC 04659	40	Balag Enlil (206)	Balag	Enlil	
YBC 09838	P310385	YBC 09838	70	Balag Enlil (207)	Balag	Enlil	
YBC 09862	P310399	YBC 09862	80	Balag ID (1)	Balag	Inana-Dumuzi	
YOS 22, 55	P505941	YBC 09847					
YOS 22, 56	P312023	YBC 12059					
ZA 104, 153-154	P431312					Enlil	
CUNES 50-07-013	P411136	CUNES 50-07-013			letter		
