designation	id_text	museum_no	Delnero_no	Delnero_subgenre_no	type	deity	Delnero_remarks
CT 15, pl. 24-25, BM 023117	P345458	BM 023117	220	Balag ID (56)	Balag	Inana-Dumuzi	
CT 15, pl. 26-27, BM 023658	P345459	BM 023658	240	Balag ID (57)	Balag	Inana-Dumuzi	
CT 15, Pl. 28-29	P345460	BM 023702				Inana-Dumuzi	
CT 15, pl. 30, BM 088384	P345461	BM 088384	730	Balag ID (67)	Balag	Inana-Dumuzi	
CT 36, pl. 35-38, BM 096933	P345504	BM 096933	840	Balag ID (4)	Balag	Inana-Dumuzi	
CT 36, pl. 41-42, BM 096940	P345506	BM 096940	860	Ershemma NG (386)	Ershemma	Ninisina-Gula	
CT 36, pl. 45-46, BM 096691	P345508	BM 096691	810	Balag Enlil (229)	Balag	Enlil	
CT 36, pl. 47-50, BM 096681	P345509	BM 096681	800	Balag AD (191)	Balag	Aruru-Dingirmah	
CT 36, Pl.43-44 (BM 96684)	P345507	BM 096684				Ninisina-Gula	
CT 42, 03 BM 086536	P283774	BM 086536	680	Balag Enlil (219)	Balag	Enlil	
CT 42, 07 BM 015793	P283739	BM 015793	130	Collective Tablet (384 and 446)	Ershemma	Ninisina-Gula and Martu	
CT 42, 08 BM 088288	P283778	BM 088288	720	Balag Enki (275)	Balag	Enki	
CT 42, 09 BM 085197	P283770	BM 085197	640	Ershemma Nanna-Suen (284)	Ershemma	Nanna-Suen	
CT 42, 10 BM 065145	P283764	BM 065145	470	Ershemma Iškur (440)	Ershemma	Iškur	
CT 42, 13	P283740	BM 015794			Shirnamshub	Inana	
CT 42, 14 BM 016385	P283743	BM 016385	170	Balag ID (55)	Balag	Inana-Dumuzi	
CT 42, 15 BM 087518	P283775	BM 087518	690	Balag ID (2)	Balag	Inana-Dumuzi	
CT 42, 16 BM 085198	P283771	BM 085198	650	Ershemma ID (325)	Ershemma	Inana-Dumuzi	
CT 42, 19 BM 029617	P283757	BM 029617	300	Ershemma NG (385)	Ershemma	Ninisina-Gula	
CT 42, 26 BM 085204	P283773	BM 085204	660	Balag ID (209)	Balag	Inana-Dumuzi	
CT 42, 33 BM 015822	P283742	BM 015822	160	Balag ID (107)	Balag	Inana-Dumuzi	
CT 42, 37 BM 077952	P283769	BM 077952					
CT 42, 38 BM 016901	P283745	BM 016901	180	Balag NG (170)	Balag	Ninisina-Gula	
CT 42, 43 BM 087594	P283776	BM 087594				Šulpae	
CT 42, 48 BM 054707	P283761	BM 054707	380	Balag ID (8)	Balag	Inana-Dumuzi	
CT 44, 12	P345521	BM 078175	530	Balag Enki (274)	Balag	Enki	
CT 44, 13	P345522	BM 078193	540	Balag ID (62)	Balag	Inana-Dumuzi	
CT 44, 14	P345523	BM 078198	550	Balag Uncertain Deity (287)	Ershahunga	Uncertain	
CT 44, 15	P345524	BM 078173	520	Ershemma ID (346)	Ershemma	Inana-Dumuzi	
CT 44, 16	P345525	BM 078183			Shirnamshub	Nanna	
CT 44, 24	P345533	BM 078250					
CT 58, 01	P274196	BM 073137	500	Balag ID (60)	Balag	Inana-Dumuzi	
CT 58, 02	P274197	BM 061892	460	Ershemma ID (345)	Ershemma	Inana-Dumuzi	
CT 58, 03	P274198	BM 079510	570	Balag ID (63)	Balag	Inana-Dumuzi	
CT 58, 04	P274199	BM 082972	610	Balag ID (66)	Balag	Inana-Dumuzi	
CT 58, 05	P274200	BM 098396	870	Ershemma Ninhursag (398)	Ershemma	Ninhursag	
CT 58, 06	P274201	BM 054970	400	Ershemma ID (344)	Ershemma	Inana-Dumuzi	
CT 58, 07	P274202	BM 096692	820	Ershemma ID (356)	Ershemma	Inana-Dumuzi	
CT 58, 08 +	P274203	BM 080758 + VAT 01351 (+) VAT 01387 + BCM A.1849-1982	590	Balag ID (65)	Balag	Inana-Dumuzi	
CT 58, 09	P274204	BM 088319				Damu	
CT 58, 11	P274206	BM 109167	910	Ershemma ID (333)	Ershemma	Inana-Dumuzi	
CT 58, 12	P274207	BM 085206					
CT 58, 13	P274208	BM 088318					
CT 58, 14	P274209	BM 061547 + BM 067958 + BM 071421	450	Balag ID (109)	Balag	Inana-Dumuzi	
CT 58, 15	P274210	BM 088406	740	Balag ID (68)	Balag	Inana-Dumuzi	
CT 58, 16	P274211	BM 023666	250	Balag ID (58)	Balag	Inana-Dumuzi	
CT 58, 17	P274212	BM 087575	710	Ershemma ID (355)	Ershemma	Inana-Dumuzi	
CT 58, 18	P274213	BM 088858	750	Balag ID (69)	Balag	Inana-Dumuzi	
CT 58, 19	P274214	BM 055290	410	Balag ID (27)	Balag	Inana-Dumuzi	
CT 58, 20	P274215	BM 096936	850	Balag Nin-nigingara (199)	Balag	Nin-nigingara	
CT 58, 21	P274216	BM 023111	210	Balag ID (108)	Balag	Inana-Dumuzi	
CT 58, 31	P274226	BM 061445	440	Uncertain TT and D (492)	Balag	Inana-Dumuzi	
CT 58, 32	P274227	BM 066276	480	Balag ID (59)	Balag	Inana-Dumuzi	
CT 58, 33	P274228	BM 100111	900	Ershemma ID (328)	Ershemma	Inana-Dumuzi	
CT 58, 34	P274229	BM 096639	780	Ershemma ID (326)	Ershemma	Inana-Dumuzi	
CT 58, 35	P274230	BM 057502	420	Balag Enlil (228)	Balag	Enlil	
CT 58, 36	P274231	BM 054323 + BM 059692	370	Ershemma ID (343)	Ershemma	Inana-Dumuzi	
CT 58, 37	P274232	BM 087520	700	Ershemma NG (388)	Ershemma	Ninisina-Gula	
CT 58, 38	P274233	BM 109168	920	Balag Ninurta (279)	Balag	Ninurta	
CT 58, 39 +	P274234	BM 081014 + BM 132268 + BM 132267 + VAT 01334 + CBS 00497 + VAT 01357  + BCM A.1851-1982	600	Balag Enlil (218)	Balag	Enlil	
CT 58, 40	P274235	BM 096574			Ershahunga		
CT 58, 41	P274236	BM 096112	760	Balag ID (70)	Balag	Inana-Dumuzi	
CT 58, 42	P274237	BM 100046	880	Ershemma ID (327)	Ershemma	Inana-Dumuzi	
CT 58, 44	P274239	BM 113236				Nanna	
CT 58, 61	P274257	BM 081700					
CT 58, 70	P274267	BM 078164				Enki	
CT 58, 71	P274268	BM 075991	510	Balag ID (61)	Balag	Inana-Dumuzi	
CT 58, 73	P274270	BM 072884	490	Ershemma Enlil (418)	Ershemma	Enlil	
CT 58, 74	P274271	BM  016705				Iškur	
CT 58, 78	P274275	BM 096568	770	Ershemma Šulpae (451)	Ershemma	Šulpae	
CTMMA 2, 001	P412174	MMA 86.11.062	4920	Balag AD (197)	Balag	Aruru-Dingirmah	
Dumuzi-Inana Y source A	P260882	CBS 04569				Inana-Dumuzi	
Dumuzi-Inana Y source B	P256805	UM 29-16-237				Inana-Dumuzi	
FLP 2627	P345955	FLP 2627				Inana	
Fs Birot 128-129	P355674	BM 086535	670	Balag Multiple Deities (286)	Balag	Ninisina-Gula	
Fs Civil90, 091-102	P265634	CBS 10417	2760	Balag Enlil (223)	Balag	Enlil	
Fs Kraus 134-135	P355696	BM 029633	340	Ershemma Lisin (404)	Ershemma	Lisin	
