id_text	OB Liturgy	type	deity	designation
X907123	OB Liturgy			IB 1684
P355666	OB Liturgy	Balag	Inana-Dumuzi	IM 044737
P283772	OB Liturgy	Shirnamshub	Inana	Inana I
P343524	OB Liturgy		Dumuzi	ISET 1 144 (Ni 9976)
P355667	OB Liturgy	Balag	Enlil	ISET 1 146 (pl.88) 146, Ni 4357
P343079	OB Liturgy			ISET 1, 061 (pl. 003), Ni 04121
P343164	OB Liturgy			ISET 1, 127 (pl. 069), Ni 04067
P343190	OB Liturgy			ISET 1, 133 (pl. 075), Ni 04189
P343212	OB Liturgy			ISET 1, 138 (pl. 080), Ni 04214
P343230	OB Liturgy			ISET 1, 140 (pl. 082), Ni 04227
X907003	OB Liturgy			ISET 1, 172 (pl. 114)
X907005	OB Liturgy			ISET 1, 176 (pl. 118)
X907006	OB Liturgy			ISET 1, 179 (pl. 121)
X907114	OB Liturgy			ISET 1, 209 (Pl. 151) Ni 13236
P343579	OB Liturgy	Ershemma	Utu	ISET 1, 219 (pl. 161), Ist L 01486
P343583	OB Liturgy	Ershemma	Inana-Dumuzi	ISET 1, 221-222 (pl. 163-164), Ist L 01492
P343588	OB Liturgy	Ershemma	Aruru-Dingirmah	ISET 1, 227 (pl. 169), Ist L 01501
P343580	OB Liturgy			Ist L 01494
P343581	OB Liturgy			Ist L 01495
P343586	OB Liturgy			Ist L 01497
P343587	OB Liturgy		Ninurta	Ist L 01500
P343111	OB Liturgy		Inana	Ist Ni 02461
P356988	OB Liturgy		Ninisina	Ist Ni 02889
X000108	OB Liturgy	Ershemma	Enlil	Ist Ni 09798
P356968	OB Liturgy			Ist Ni 09992
P355642	OB Liturgy	Balag	Enlil	JCS 08, 082-3
P355644	OB Liturgy	Ershemma	Inana-Dumuzi	JCS 08, 084, CNMA 10050
P355648	OB Liturgy	Ershahunga		JCS 08, 086, CNMA 10099
P405598	OB Liturgy	Shirnamshub	Ninisina	JCS 16, 079
P269087	OB Liturgy	Hymn	Ninšubur	JCS 34, 69-70
P357172	OB Liturgy	Ershahunga		JCS 39, 046
P269882	OB Liturgy		Inana	Lipit-Eštar H
P423962	OB Liturgy	Ershemma	Inana-Dumuzi	MAH 15995
P424008	OB Liturgy	Balag	Utu	MAH 16066
P355698	OB Liturgy	Love song	Inana-Dumuzi	Manchester Memoirs 48 pl.1-7
P267066	OB Liturgy	Balag	Enlil	MBI 05, pl. 12
X907112	OB Liturgy		Ninisina-Gula	MC 24, 35
X907113	OB Liturgy			MC 24, 37
P251529	OB Liturgy			MS 2289
P252007	OB Liturgy		Inana-Dumuzi	MS 2921
P252080	OB Liturgy		Ninisina-Gula	MS 3071
P252255	OB Liturgy		Inana-Dumuzi	MS 3314
P252299	OB Liturgy		Inana-Dumuzi	MS 3358
P252347	OB Liturgy			MS 3406
P276199	OB Liturgy	Balag	Inana-Dumuzi	N 1053
P276447	OB Liturgy	Balag	Enlil	N 1296
P276471	OB Liturgy	Balag	Nintu	N 1322 +
P276512	OB Liturgy			N 1365
P276518	OB Liturgy			N 1372
P277466	OB Liturgy	Balag	Inana-Dumuzi	N 1373 +
P276556	OB Liturgy	Uncertain	Enlil	N 1411
