id_text	acc	bit	cmt	desc	exc	feat	func	gods	lang	mre	mus	per	pid	pri	pro	pub	ritu	subs	tid	xid
P241191		ix 1-viii 5			TM.75.G.01619		Therapeutic: releasing illness (gi -- syllabic writing for gig)	Enlil	Sumerian	Krebernik 1984 nos 23c, 23m		Ebla		ARET 5, 8	Ebla	Pettinato, G., OrAnt. 18, 340-341, tav. XXXVII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla l, 21-23 [1984]			2	GC 28a
P243691		i' 1-ii' 3			TM.75.G.04715 + TM.75.G.4743 + TM.75.G.4744 + TM.75.G.4751		Therapeutic: releasing illness (gi -- syllabic writing for gig)	Enlil	Sumerian	Krebernik 1984 nos 23c, 23m		Ebla		ARET 5, 17	Ebla	Krebernik, M., Die Beschwörungen aus Fara und Ebla 23, 38 [1984]			1	GC 28b
P241759					TM.75.G.02195	Features divine dialogue	Therapeutic: releasing internal illness (ša-gi -- syllabic writing for šà-gig), illness (dur -- syllabic writing for tur5) and bile (zé), caused by spell (na) and incantation (du -- syllabic writing for tu6)	Enlil and his offspring	Sumerian	Krebernik 1984 no 9		Ebla		ARET 5, 11	Ebla	Pettinato, G., OrAnt. 18, 346, tav. XL [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla .9 [1984]; Matthiae, P., I tesori di Ebla, tav. 30 b- c [1984]			1	GC 29
P241072					TM.75.G.01501	Features praise of tamarisk as divine purifier, divine oath and oath by heaven and the underworld	Therapeutic: releasing illness (gig) possibly caused by incantation (du -- syllabic writing for tu6)	An, Enki and Ninki, Enlil, Utu	Sumerian	Krebernik 1984 no 19		Ebla		ARET 5, 12	Ebla	Pettinato, G., OrAnt. 18, 339, tav. XXXVI [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 19 [1984]			1	GC 30
P241090					TM.75.G.01519	Features praise of tamarisk as divine purifier, divine oath and oath by heaven and the underworld	Therapeutic: releasing illness (ki-gig and dúr -- syllabic writing for tur5)	An, Enki and Ninki, Enlil	Sumerian	Krebernik 1984 nos 20b, 20d		Ebla		ARET 5, 13	Ebla	Pettinato, G., OrAnt. 18, 340, tav. XXXVII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 20 [1984]			1	GC 31a
P241200					TM.75.G.01627	Features praise of tamarisk as divine purifier, divine oath and oath by heaven and the underworld	Therapeutic: releasing illness (ki-gig and dúr -- syllabic writing for tur5)	An, Enki and Ninki, Enlil	Sumerian	Krebernik 1984 nos 20b, 20d		Ebla		ARET 5, 14	Ebla	Pettinato, G., OrAnt. 18, 342, tav. XXXVIII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 20 [1984]			1	GC 31b
P241222					TM.75.G.01649	Features divine oath and part of divine dialogue	Possibly therapeutic: reference to recovering (nêšu)	Enlil, Kakkabu, Sîn, Šamaš	Akkadian	Gordon 1992 no 1 (see also Fronzaroli 1988 no 1)		Ebla		ARET 5, 1	Ebla	Fronzaroli, P., VicOr. 07, 11-23 [1988]			1	GC 32
P242379					TM.75.G.03216 + TM.75.G.5509 + TM.75.G.11748 + TM.75.G.18214	Possibly features part of divine dialogue	Possibly therapeutic: similar to Text 32	Enlil, Hadda	Akkadian	Catagnoti 1988 (see also Fronzaroli 1988 no 2 and Gordon 1992 no 2)		Ebla		ARET 5, 2+	Ebla	ARET 05, 02; (TM.75.G.11748); ARET 03, 186 (TM.75.G.3216); Fronzaroli, P., VicOr. 07, 11-23 [1988]				GC 33
P241756					TM.75.G.02192	Features part of divine dialogue	Possibly therapeutic: similar to Text 32	Enlil, Kakkabu, Šamaš	Akkadian	Gordon 1992 no 3 (see also Fronzaroli 1988 no 3)		Ebla		ARET 5, 3	Ebla	Fronzaroli, P., VicOr. 07, 11-23 [1988]			1	GC 34
P241758					TM.75.G.02194		Possibly therapeutic: similar to Text 32	Balīḫ, Hadda, Sîn, Šamaš	Akkadian	Gordon 1992 no 4		Ebla		ARET 5, 4	Ebla				1	GC 35
P240790					TM.75.G.01217		Possibly therapeutic: references to incantation (šiptu)	Balīḫ, Šamaš	Akkadian	Gordon 1992 no 5		Ebla		ARET 5, 5	Ebla				1	GC 36
P241191		iii 1-v 1			TM.75.G.01619		Possibly divine propitiation: reference to offerings (sattukku written SÁ.DUG4.GA)	None	Akkadian	Krebernik 1984 nos 21c, 21i		Ebla		ARET 5, 8	Ebla	Pettinato, G., OrAnt. 18, 340-341, tav. XXXVII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla l, 21-23 [1984]			3	GC 37a
P241781					TM.75.G.02217		Possibly divine propitiation: reference to offerings (sattukku written SÁ.DUG4.GA)	None	Akkadian	Krebernik 1984 nos 21c, 21i		Ebla		ARET 5, 9	Ebla	Pettinato, G., OrAnt. 18, 347, tav. XL [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 21 [1984]			1	GC 37b
P241191		v 2-vii 4			TM.75.G.01619		Possibly therapeutic: references to parts of the body and to exorcising (ašāpu)	None	Akkadian	Krebernik 1984 no 22		Ebla		ARET 5, 8	Ebla	Pettinato, G., OrAnt. 18, 340-341, tav. XXXVII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla l, 21-23 [1984]			4	GC 38
P241604					TM.75.G.02038		Possibly therapeutic: similar to Text 32	Adarwan, Armarik, Balīḫ, Hadda, Išḫara, Kamiš	Akkadian	Krebernik 1984 no 26		Ebla		ARET 5, 16	Ebla	Pettinato, G., OrAnt. 18, 344-345, tav. XXXIX [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 26 [1984]			1	GC 39
P243691		ii' 4-iii' 4 (language uncertain)			TM.75.G.04715 + TM.75.G.4743 + TM.75.G.4744 + TM.75.G.4751		Function uncertain	None (but text is broken)	Akkadian	Krebernik 1984 no 38		Ebla		ARET 5, 17	Ebla	Krebernik, M., Die Beschwörungen aus Fara und Ebla 23, 38 [1984]			2	GC 40
P244874		i 1-vi 4			TM.75.G.10186		Function uncertain	Balīḫ, Ningirim, Šamaš	Akkadian	Krebernik 1984 no 39		Ebla		ARET 5, 18	Ebla	Krebernik, M., Die Beschwörungen aus Fara und Ebla 29, 39 [1984]			1	GC 41
P244874		vi 5-vii 5			TM.75.G.10186		Possibly therapeutic: possible reference to releasing illness (murṣa paṭāru written DUR DUḪ)	None	Akkadian	Krebernik 1984 nos 29n, 29l		Ebla		ARET 5, 18	Ebla	Krebernik, M., Die Beschwörungen aus Fara und Ebla 29, 39 [1984]			2	GC 42a
P242007		v 3-vi 2 (language uncertain)			TM.75.G.02459		Possibly therapeutic: possible reference to releasing illness (murṣa paṭāru written DUR DUḪ)	None	Akkadian	Krebernik 1984 nos 29n, 29l		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			10	GC 42b
P242007		vii 2-9			TM.75.G.02459		Possibly protective: reference to conjuring (tamû) a snake	None	Akkadian	Krebernik 1984 no 30		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			11	GC 43
P242007		x 5-xii 3			TM.75.G.02459		Possibly therapeutic: references to exorcising (ašāpu)	Ningirim, Šamaš	Akkadian	Krebernik 1984 no 32		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			12	GC 44
P242007		xii 4-xiii 1			TM.75.G.02459		Possibly divine propitiation: references to fish (nūnu)	Ea, Ningirim	Akkadian	Krebernik 1984 no 33		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			13	GC 45
P242007		xvii 6-xviii 6 (language uncertain)			TM.75.G.02459		Possibly stopping pre-natal bleeding: similar to later incantations with this function	None (but text is broken)	Akkadian	Krebernik 1984 no 37		Ebla		ARET 5, 19	Ebla	Pettinato, G., OrAnt. 18, 347-350, tav. XLI-XLII [1979]; Krebernik, M., Die Beschwörungen aus Fara und Ebla 10, 24, 25, 27-37 [1984]			14	GC 46
P112930						Features praise of giš-kín tree as divine purifier	Possibly therapeutic: similar to later incantation releasing illness caused by the evil udug	Enki, Nanše, Ningirim	Sumerian	Geller 1980 pp24-25		Old Akkadian		MDP 14, 91	Susa	P. Michalowski, QuadSem. 18 (1992) 323 cites as Ur III incantation			1	GC 47
P216083					N 1235 +		Function uncertain	Enlil, Utu	Sumerian	Alster 1976 p14ff	N 1235 +	Old Akkadian		BiMes 1, 6	Nippur			Subscript: uru18-sag [ka]-mè-ka-kam (possibly to be translated: It is for the first deluge of the gate of battle)		GC 48
P216084					N 0288	Features divine oath	Possibly therapeutic: directed against an unspecified daimon	Nanše, Ningirim	Akkadian	Westenholz 1975 no 7	N 0288	Old Akkadian		BiMes 1, 7	Nippur					GC 49
P285640						Features divine oath	Arousal of love	Ea, Išḫara, Ištar	Akkadian	Westenholz and Westenholz 1977 (Foster 1993 no I.4)	Kish 1930, 143 + 175 h	Old Akkadian		MAD 5, 8	Kish	J. and A. Westenholz, OrNS 46, 198-219 (copy, edition) [1977]; B. Groneberg, RA 95: 97-113 [2001] 			1	GC 50
P274441						Features divine dialogue	Military	Asalluḫi, Enki, NE.DAG, Ningirim, Tu	Sumerian	Kramer and Eren 1978; TMH 6, 75	Ni 02177	Old Babylonian		Anadolu Arastirmalari 6 pp176-77,  Ni 2177	Nippur	Hilprecht Anniversary Volume p. 220				GC 51
P250420						Features divine dialogue	Therapeutic: releasing headache (sag-gig) and muscular neck-ache (gú-sa-gig)	Asalluḫi, Enki	Sumerian	Langdon 1910	Ni 02187	Ur III		HAV p220,  Ni 2187	Nippur	Hilprecht Anniversary Volume p. 220				GC 52
P110482		1-6				Features praise of reed-standard as divine purifier	Possibly opening the mouths of divine statues	Enki, Nammu	Sumerian	Unedited	Ni 04176	Ur III		ISET 1 p217,  Ni 4176	Nippur	P. Michalowski, QuadSem. 18 (1992) 323 cites as Ur III incantation			1	GC 53
P110482		7-12				Features praise of tamarisk as divine purifier	Possibly opening the mouths of divine statues	Ningirim	Sumerian	Krebernik 1984 pp226-30	Ni 04176	Ur III		ISET 1 p217, Ni 4176	Nippur	P. Michalowski, QuadSem. 18 (1992) 323 cites as Ur III incantation			2	GC 54a
P125403						Features praise of tamarisk as divine purifier	Possibly opening the mouths of divine statues	Ningirim	Sumerian	Krebernik 1984 pp226-30	CBS 08380	Ur III		PBS 1/2, 123	Nippur	see P. Michalowski, QuadSem. 18 (1992) 317			1	GC 54b
P110482		13-rev 9'				Features praise of juniper as divine purifier	Possibly opening the mouths of divine statues	None	Sumerian	Unedited	Ni 04176	Ur III		ISET 1 p217,  Ni 4176	Nippur	P. Michalowski, QuadSem. 18 (1992) 323 cites as Ur III incantation			3	GC 55
P110483							Function uncertain	Enki, Ningirim	Sumerian	Unedited	Ni 13214	Ur III		ISET 1 p218,  Ni 13214	Nippur	P. Michalowski, QuadSem. 18 (1992) 323 cites as Ur III incantation				GC 56
P124790							Function uncertain	Asalluḫi	Sumerian	Michalowski 1985 text A	CBS 08371	Ur III		PBS 1/2, 130	Nippur	H. Lutz, PBS 1/2, no. 130; see P. Michalowski, QuadSem. 18 (1992) 326; A. Cavigneaux, ASJ 17 (1995) 75				GC 57
P263102							Therapeutic: releasing illness caused by the šegbar ('wild goat') and the ušumgal ('great venomous snake')	Ninazu	Sumerian	van Dijk 1969 text D	CBS 08230	Ur III		PBS 1/2, 131	Nippur	PBS 1/2 131; NATN p. p.13, pl.2(Obv., photo)			1	GC 58
P142390					5N-T145		Protective: protecting against the samana	Asalluḫi, Ningirim	Sumerian	van Dijk 1985 no 73	NBC 11106	Old Akkadian		YOS 11, 73	Nippur	P. Michalowski, QuadSem. 18 (1992) 323 cites as Ur III incantation; edited I. Finkel, in S. Maul, ed., Fs. Borger, 1998, 76-78 (cited as 6 NT)			1	GC 59
P142391					6N-T0046		Therapeutic: references to neck problem (gú-kéš), the evil ala and possibly the udug	Enki, Nammu, Ningirim	Sumerian	See van Dijk 1985 no 81	NBC 10574	Ur III		YOS 11, 81	Nippur	P. Michalowski, QuadSem. 18 (1992) 323 cites as Ur III incantation			1	GC 60
P120703						Features divine dialogue	Function uncertain	Asalluḫi, Enki	Sumerian	Unedited	CBS 07268	Ur III		NATN 8	Nippur			Subscript: én-é-nu-ru munus-a-kam (It is an incantation for a woman)	1	GC 61
P256177		29-15-367				Features divine dialogue	Birth: easing delivery	Asalluḫi, Gula, Enki	Sumerian	van Dijk 1975 p53ff (Römer 1987 p204ff)	UM 29-15-367	Old Babylonian		Or 44 pp54-56,  UM 29-15-367	Nippur					GC 62
P134674						Features divine dialogue	Therapeutic: directed against the pirig ('lion')/ušumgal ('great venomous snake')	Asalluḫi, Enki	Sumerian	Ebeling 1931b no 36 and Jestin 1947 no 4 (Kramer and Maier 1989 p101)		Ur III		Trouvaille 1	prov. unclear				1	GC 63
P142045						Features divine dialogue	Birth: stopping post-natal bleeding	Asalluḫi, Ašnan, Enki	Sumerian	Finkel 1980 pp45-46	VAT 06004	Ur III		VS 10, 189	prov. unclear	Edition: Nougayrol, ArOr. 17, 220-221			1	GC 64
P142046							Purification	Enki	Sumerian	Witzel 1938a no 3; TMH 6, 76	VAT 06082	Old Akkadian		VS 10, 190	prov. unclear	van Dijk &amp;amp; Geller, TMH 6 app. 5		Subscript: a-tu5-kam (It is for bathing)	1	GC 65
P142047						Features divine dialogue	Therapeutic: releasing illness caused by snake, scorpion and dog	Asalluḫi, Enki	Sumerian	Veldhuis 1993a and 1994 (Römer 1987 pp210-11)	VAT 05993	Ur III		VS 10, 193	prov. unclear	Edition: W. Römer, TUAT II/2 (1987); N. Veldhuis, ZA 83, 1993, 161-169; W. Römer, AOAT 240 (1995) 419-423		Subscript: lú muš zú ba-dù a-bi lú-kúr-ra nag-nag-da-kam (It is for making a bitten man -- a man a snake has bitten -- drink this water)	1	GC 66
P142388							Possibly snake-charming	Utu	Sumerian	See Michalowski 1985 p222	MLC 01093	Ur III		YOS 11, 37	Nippur	Brummer, RT 28 (1906) 214P. Michalowski, QuadSem. 18 (1992) 323 cites as Ur III incantation; see P. Michalowski, Or. 54 (1985) 222		Subscript: ka-inim gír šu-a DU-da-kam (It is an incantation for carrying a scorpion in the hand)	1	GC 67
P101947		i 1-12					Possibly birth: on same compendium tablet as Text 70	Enki	Sumerian	Sigrist 1980 pp154-55	AUAM 73.1425	Ur III		ASJ 2 pp159-60, AUAM 73.1425	Nippur				1	GC 68
P101947		ii 1-iii 2				Features praise of juniper as divine purifier	Possibly birth: on same compendium tablet as Text 70	None	Sumerian	Sigrist 1980 pp155-57	AUAM 73.1425	Ur III		ASJ 2 pp159-60, AUAM 73.1425	Nippur				2	GC 69
P101947		iii 3-iv 13					Birth: easing delivery	Nintu	Sumerian	Sigrist 1980 pp157-58	AUAM 73.1425	Ur III		ASJ 2 pp159-60, AUAM 73.1425	Nippur				3	GC 70
P101856		11276				Features divine dialogue	Protective: protecting against the samana	Asalluḫi, Enki	Sumerian	Nougayrol 1949 (Falkenstein 1953 no 39)	AO 11276	Ur III		ArOr 17/2 following p226, AO 11276	prov. unclear	P. Michalowski, QuadSem. 18 (1992) 323 cites as Ur III incantation; edited I. Finkel, in S. Maul, ed., Fs. Borger, 1998, 72-76				GC 71
P121614							Possibly therapeutic: directed against an unspecified daimon	None	Akkadian	Gelb 1957 p242 (Foster 1993 no I.2)		Ur III		NATN 917	Nippur				1	GC 72
